Original,English,Category
Massnahmen gegen Wildverbiss,Measures against browsing by wild animals,Game_reduction_or_control
increased herbivore control,Increased herbivore control,Game_reduction_or_control
Wilddruck reduzieren,Reduce browsing/game pressure,Game_reduction_or_control
Maßnahmen zur Erreichung naturverträglicher Wildbestände (Jagdrecht/keine Subvention von Zäunen oder Pflanzungen/...),"Measures to achieve wildlife populations compatible with nature, such as hunting law and no subsidies for fences or plantings",Game_reduction_or_control
Schärfere Bejagung von verbeißendem Schalenwild,More intensive hunting of browsing ungulates,Game_reduction_or_control
Anpassung ist ein langjähriger Vorgang. Anpassung wird nicht mit einzelnen Maßnahmen gelingen.,Adaptation is a long-term process. Adaptation will not succeed through individual measures,Inaction
"Az erdők maguk alkalmazkodnak a klímához, épp úgy mint kialakulása során. A fajok maguk alkalmazkodnak, vagy eltűnnek és helyébe lépnek másikak TERMÉSZETES úton.","Forests adapt to the climate by themselves, just as they did during their development. Species adapt by themselves, or disappear and are replaced by others naturally",Inaction
Favoriser les remembrements privés,Promote private land consolidation,Professional_autonomy
Pozwolić leśnikom działać a nie wprowadzać restrykcje,Allow foresters to act instead of introducing restrictions,Professional_autonomy
wykorzystanie wiedzy i doświadczenia praktyków,Use the knowledge and experience of practitioners,Professional_autonomy
"a természeti folyamatok megfigyelésére alapozott erdőgazdálkodás, erdőhigiéniai szempontok fokozott figyelembevétele (egészségügyi termelések szorgalmazása, beteg, elhalt, károsítók elszaporodását elősegítő beteg elhalt fák minél előbbi eltávolítása az állományokból (minél kevesebb álló és fekvő holtfa az erdőkben)","Forest management based on observing natural processes, with increased attention to forest hygiene, including sanitary harvesting and early removal of diseased, dead, or pest-promoting trees from stands, with as little standing and lying deadwood as possible",Professional_autonomy
"az erdőgazdálkodás felszíni lefolyást növelő hatásainak mérséklése, a vágásos erdőgazdálkodás átállítása Pro Silva szemléletű gazdálkodásra","Reduce the effects of forest management that increase surface runoff, and convert clear-cutting forestry to Pro Silva-style management",Professional_autonomy
"szybsza wymiana pokoleń lasów - zmniejszenie wieków rębności, akcja informacyjna dla społeczeństwa celem przeciwdziałania manipulacjom organizacji chroniących przyrodę, które nie podchodzą całościowo do zagadnienia ochrony lasu, a działają tylko na emocjach - głównie ochrony starych lasów","Faster generational turnover of forests, reduction of rotation ages, and an information campaign for the public to counter manipulation by nature-conservation organizations that do not approach forest protection holistically but act mainly on emotions, especially around the protection of old forests",Professional_autonomy
am Standort angepasste Mischwälder fördern,Promote mixed forests adapted to the site,Professional_autonomy
"Insisting on Durability of forest management (potrajnost gazdovaja šumama), century old postulate of European forestry.","Insisting on the durability/sustainability of forest management, a century-old principle of European forestry",Professional_autonomy
"Aides à l'adaptation par des opérations prudentes et réversibles (sylviculture mélangée à couvert coutinu), pas par la sylviculture de remplacement"" (voir mon livre ""Pour une gestion écologique des forêts"" - Terre Vivante 2023 !)","Aid for adaptation through cautious and reversible operations, such as mixed continuous-cover forestry, not through replacement forestry",Professional_autonomy
Entscheidungsfreiheit,Freedom of decision,Professional_autonomy
Förderung von struktur- und artenreichen Wäldern natürlicher Herkunft,Promotion of structurally rich and species-rich forests of natural origin,Professional_autonomy
Förderung von artenreichen und strukturreichen Wäldern,Promotion of species-rich and structurally rich forests,Professional_autonomy
Promouvoir la sylviculture mélangée à couvert continu,Promote mixed continuous-cover forestry,Professional_autonomy
Encourager le gestion en sylviculture mélangée à couvert continu,Encourage management under mixed continuous-cover forestry,Professional_autonomy
"Ustaviti pritisk ljudi na gozdove - obiskovalci, več dela z NGO in več podpore stroki, gozdarstvo v osnovne šole.","Stop human pressure on forests, especially visitors; more work with NGOs and more support for the profession; forestry in primary schools",Professional_autonomy
krajšanje proizvodnih dob,Shortening production periods,Professional_autonomy
"Vključevanje toplo/hladnoljubnih vrst ob upoštevanju pomen mikroklim in refugijev, ki omogočajo dolgoročno preživetje in razširjanje populacije. Vzpostavitev drevesničarskih centrov goznih drevesnih vrst za povečanje kapacitete za obnavljanje in izboljlševanje stanja gozdov",Inclusion of warm- and cold-adapted species while considering the importance of microclimates and refugia that allow long-term survival and population spread. Establishment of nursery centres for forest tree species to increase capacity for regeneration and improvement of forest condition,Professional_autonomy
"pritisak urbanizacije i negativnih utjecaja kao posljedica istog smanjiti na minimum ( prostorni plan Gup ), ujednačiti gospodarenje bez obzira na vlasništvo","Minimize the pressure of urbanization and its negative impacts, and harmonize management regardless of ownership",Limit_urbanization
Aider les propriétaires qui pratiquent la sylviculture pérenne.,Support owners who practice sustainable/continuous forestry,Monetary_incentives_i_e_subsidies_and_or_tax_deductions
"La réduction des contraintes administratives pour l'occtroi de subvention, manque de main d'oeuvre et trop de temps consacré aux coupes forcées (bostryches)",Reducing administrative constraints for granting subsidies; lack of labour and too much time spent on forced cuttings due to bark beetles,Monetary_incentives_i_e_subsidies_and_or_tax_deductions
améliorer les équipement des entreprises de récolte de bois par des aides conséquentes car c'est souvent une activité saisonnière du fait de la fragilité des sols et des conditions climatiques et c'est un métier pénible,"Improve the equipment of wood-harvesting companies through substantial aid, since it is often seasonal work because of fragile soils and climatic conditions, and it is a difficult profession",Monetary_incentives_i_e_subsidies_and_or_tax_deductions
1) Financements de posts durable et convenable dans les administrations forestières 2) Réelle structuration de la filire afin de mieux valioriser le bois sur pied 3) augmenter les plans de chasse pour la diminution du gibier 4) arrêter de dépenser de l'argent dans la coomunication et faire des solution adaptées à chaque contexte. Il existe suffisament d'aide financières aujoyurd'hui mais le contexte en forêt privée ne permet pas au propriétaire de les obtenir (trop de morcellement foncieret filière inéfficace par manque de volonté politque)),"1) Funding for sustainable and appropriate positions in forest administrations; 2) real structuring of the sector to better value standing timber; 3) increase hunting plans to reduce game; 4) stop spending money on communication and implement solutions adapted to each context. There is enough financial aid today, but the private forest context prevents owners from accessing it, due to excessive land fragmentation and an inefficient sector caused by lack of political will",Monetary_incentives_i_e_subsidies_and_or_tax_deductions
"Bessere Betreuung, nicht so einengende Förderbedingungen, mehr Experimentiermöglichkeiten","Better support, less restrictive funding conditions, more opportunities for experimentation",Monetary_incentives_i_e_subsidies_and_or_tax_deductions
"verbindliche Vorgaben bei Subventionierung (wird mit Nais gemacht, könnte aber noch erweitert werden)","Binding requirements for subsidies, as is done with NaiS, but this could be expanded further",Monetary_incentives_i_e_subsidies_and_or_tax_deductions
CO2 Zertifikate wie z. Beispiel in Neuseeland,"CO2 certificates, for example as in New Zealand",Monetary_incentives_i_e_subsidies_and_or_tax_deductions
"Direct subsidies towards management, not clear-cutting.","Direct subsidies towards management, not clear-cutting",Monetary_incentives_i_e_subsidies_and_or_tax_deductions
"Grössere Absatzmärkte für Laubrundholz, mit besseren Preisen.","Larger markets for broadleaved roundwood, with better prices",Monetary_incentives_i_e_subsidies_and_or_tax_deductions
Soutien à l'expérimentation,Support for experimentation,Public_support_for_increased_forester_researcher_collaboration
regrouper les propriétaires forestiers,Group forest owners together,Public_support_for_increased_forester_researcher_collaboration
"la diffusione della pianificazione della gestione, con il conseguente incremento delle conoscenze","Dissemination of management planning, with the resulting increase in knowledge",Public_support_for_increased_forester_researcher_collaboration
"favorire lo sviluppo di associazionismo fondiario, istituire un'agenzia forestale di stato affiancata da un corpo forestale costituito da tecnici e non esclusivamente votato alla vigilanza ex-post","Promote the development of landowner associations and establish a state forestry agency supported by a forestry corps made up of technical experts, not only focused on ex-post monitoring",Public_support_for_increased_forester_researcher_collaboration
répertorier et communiquer les essais avec succes d'il y a 30 ans et + par type de foret/sol/climat,"Catalogue and communicate successful trials from 30 or more years ago by forest, soil, and climate type",Public_support_for_increased_forester_researcher_collaboration
Davantage de coopération transfrontaliere entre les gestionnaires forestiers,More cross-border cooperation among forest managers,Public_support_for_increased_forester_researcher_collaboration
"Aumentare la ricerca di ecotipi locali più resistenti ed evitare di acquistare materiale vivaistico da altre zone biogeografiche. In particolare evitare i rimboschimenti con specie esotiche, invasive e non","Increase research on more resistant local ecotypes and avoid buying nursery material from other biogeographic zones. In particular, avoid reforestation with exotic, invasive species",Public_support_for_increased_forester_researcher_collaboration
A kutatatások kiszélesítése a gyakorló erdészek erdőgazdálkodók irányába,Expanding research towards practicing foresters and forest managers,Public_support_for_increased_forester_researcher_collaboration
"edukacja kadr w leśnictwie, edukacja społeczna",Education of forestry staff and public education,Public_support_for_increased_forester_researcher_collaboration
Establishing/Maintaining experimental trial networks,Establishing/maintaining experimental trial networks,Public_support_for_increased_forester_researcher_collaboration
associazionismo,Associations / promotion of associations,Public_support_for_increased_forester_researcher_collaboration
Investimento na investigação e experimentação,Investment in research and experimentation,Public_support_for_increased_forester_researcher_collaboration
"Klares Konzept für den Waldumbau, angepasste Förder- und Honorierungsgrundlagen und Praxisvermittlung im Wald","Clear concept for forest conversion, adapted funding and remuneration bases, and practical knowledge transfer in the forest",Public_support_for_increased_forester_researcher_collaboration
"plus de recherches notemment dans l'épigénétique et la diversité génétique, l'adéquation avec l'écosystème en évolution","More research, especially in epigenetics and genetic diversity, and suitability for the changing ecosystem",Public_support_for_increased_forester_researcher_collaboration
"összhang a természetvédelemmel (állami és civil), egyéb hatóságokkal pl. vízügy","Coordination with nature conservation, both state and civil society, and other authorities such as water management",Public_support_for_increased_forester_researcher_collaboration
Anerkennung + Überprüfung des Waldes als CO2-Senke,Recognition and verification of forests as a CO2 sink,Public_support_for_increased_forester_researcher_collaboration
support experimental approaches to AM,Support experimental approaches to assisted migration,Public_support_for_increased_forester_researcher_collaboration
Provinding nurseries with genotypes tolerant to climate change,Providing nurseries with genotypes tolerant to climate change,Public_support_for_increased_forester_researcher_collaboration
"preverba primernosti drevesnih vrst iz obrobnih arealov z razmerami, kakršne pričakujemo pri nas v prihodnjih desetletjih.",Testing the suitability of tree species from marginal parts of their ranges under the conditions expected locally in the coming decades,Public_support_for_increased_forester_researcher_collaboration
There are already good supports for establishing diverse production forests in Ireland (FT10 DAFM scheme) but could be more support from govt. to identify likely future climate scenarios for Ireland and current climate analogues and then non-invasive species from these be trialed and rolled out as part of mixtures in currently supported afforestation schemes.,"There are already good supports for establishing diverse production forests in Ireland, such as the FT10 DAFM scheme, but there could be more government support to identify likely future climate scenarios for Ireland and current climate analogues, and then non-invasive species from these areas could be trialled and rolled out as part of mixtures in currently supported afforestation schemes",Public_support_for_increased_forester_researcher_collaboration
Colaboration betwen forest owner-gouv.-fotrester,"Collaboration between forest owners, government, and foresters",Public_support_for_increased_forester_researcher_collaboration
badania naukowe,Scientific research,Public_support_for_increased_forester_researcher_collaboration
