Original text,Translation,Species
sorbus aoccuparia,Sorbus aucuparia,Sorbus aucuparia
Baumweide / Baumhasel / Esskastanie / Zerreiche / Aspe /,Salix caprea / Corylus colurna / Castanea sativa / Quercus cerris / Populus tremula,Salix caprea / Corylus colurna / Castanea sativa / Quercus cerris / Populus tremula
érable sycomore,Acer pseudoplatanus,Acer pseudoplatanus
"Coryllus colurna, Quercus palustris, Juglans regia",Corylus colurna / Quercus palustris / Juglans regia,Corylus colurna / Quercus palustris / Juglans regia
Quercus Pubescens,Quercus pubescens,Quercus pubescens
Liriodendron tulipifera,Liriodendron tulipifera,Liriodendron tulipifera
Roteiche,Quercus rubra,Quercus rubra
Baumhasel,Corylus colurna,Corylus colurna
"Chênes  : vert, pubescent, chevelu, tauzin, de Hongrie, du Portugal, érable plane, érable de Montpellier, cormier, liquidambar, noisetier de Bysance, frêne à feuilles étroites",Quercus ilex / Quercus pubescens / Quercus cerris / Quercus pyrenaica / Quercus frainetto / Quercus lusitanica / Acer platanoides / Acer monspeliensis / Sorbus domestica / Liquidambar spp. / Corylus colurna / Fraxinus angustifolia,Quercus ilex / Quercus pubescens / Quercus cerris / Quercus pyrenaica / Quercus frainetto / Quercus lusitanica / Acer platanoides / Acer monspeliensis / Sorbus domestica / Liquidambar spp. / Corylus colurna / Fraxinus angustifolia
Liquidambar,Liquidambar spp.,Liquidambar spp.
sapin turquie,Abies nordmanniana,Abies nordmanniana
ginkho,Ginkgo biloba,Ginkgo biloba
Nem tudom,I don't know,
Erable sycomore,Acer pseudoplatanus,Acer pseudoplatanus
tilleul à petite feuille,Tilia cordata,Tilia cordata
espèces mellifères,Melliferous (honey-producing) species,many
Tilleu à GF et PFeuilles,Tilia cordata / Tilia platyphyllos,Tilia cordata / Tilia platyphyllos
MEURISIER,Prunus avium,Prunus avium
Flaumeiche,Quercus pubescens,Quercus pubescens
Betula celtiberica,Betula celtiberica,Betula celtiberica
Tilia cordata and platyphyllos,Tilia cordata / Tilia platyphyllos,Tilia cordata / Tilia platyphyllos
Iranian quercus castaneifolia,Quercus castaneifolia,Quercus castaneifolia
Quercus suber,Quercus suber,Quercus suber
Ulmus minor,Ulmus minor,Ulmus minor
Fraxinus excelsior,Fraxinus excelsior,Fraxinus excelsior
"Divja češnja, tepka, lesnika",Prunus avium / Sorbus domestica / Corylus avellana,Prunus avium / Sorbus domestica / Corylus avellana
"Corylus colurna, Q. pubescens, Q. faginea, Q. cerris, Q. pyrenaica, Sorbus domestica, Acer platanoides, Acer monspessulanumm",Corylus colurna / Quercus pubescens / Quercus faginea / Quercus cerris / Quercus pyrenaica / Sorbus domestica / Acer platanoides / Acer monspeliensis,Corylus colurna / Quercus pubescens / Quercus faginea / Quercus cerris / Quercus pyrenaica / Sorbus domestica / Acer platanoides / Acer monspeliensis
Quercus frainetto,Quercus frainetto,Quercus frainetto
Betula pubescens,Betula pubescens,Betula pubescens
Eucalyptus nitens,Eucalyptus nitens,Eucalyptus nitens
minor broadleaf species,Minor broadleaf species,many
Pinus pinea,Pinus pinea,Pinus pinea
Fraxinus angustifolia subsp. pannonica,Fraxinus angustifolia subsp. pannonica,Fraxinus angustifolia subsp. pannonica
