Original text,Translation,Species
Jalovec obecný,Common juniper,Juniperus communis
dub červený,Red oak,Quercus rubra
Mocsári ciprus,Swamp cypress (Bald cypress),Taxodium distichum
seltene heimische Baumarten,Rare native tree species,many
Pinus caribea,Pinus caribaea,Pinus caribaea
Chêne,Oak,Quercus spp.
Abies bornmulleriana,Abies bornmuelleriana,Abies bornmuelleriana
"feuillus hêtres, cornouiller,acacia","Broadleaves: beeches, dogwood, black locust",Fagus sylvatica / Cornus spp. / Robinia pseudoacacia
"Erable sycomore, chêne pubescent, cormier, pommier sauvage ...","Sycamore maple, downy oak, wild service tree, wild apple",Acer pseudoplatanus / Quercus pubescens / Sorbus torminalis / Malus sylvestris
Cyprès chauves,Bald cypresses,Taxodium distichum
Acer pseudoplatanus,Acer pseudoplatanus,Acer pseudoplatanus
"robles, alcornoques","Oaks, cork oaks",Quercus spp. / Quercus suber
Acer campestre,Acer campestre,Acer campestre
"All these conifers except Norway spruce, Pinus sylvestris, Taxus baccata and Larix decidua are considered as non-native in Sweden.","All these conifers except Norway spruce, Pinus sylvestris, Taxus baccata and Larix decidua are considered as non-native in Sweden.",many
Cedrus libani,Cedrus libani,Cedrus libani
Hemlock,Hemlock,Tsuga spp.
"vor allem Laubbaumarten würde ich pflanzen, Nadelhölzer eher weniger","I would mainly plant broadleaf tree species, conifers rather less",many
Abies nordmanniana,Abies nordmanniana,Abies nordmanniana
Other native species that have historically been grazed out or removed for forestry reasons,Other native species that have historically been grazed out or removed for forestry reasons,many
Abies concolor,Abies concolor,Abies concolor
Pinus Pinaster,Pinus pinaster,Pinus pinaster
pinus cembra,Pinus cembra,Pinus cembra
Pour les essences non indigènes il existe des barrières législatives,For non-native species there are legislative barriers.,
Hybrid-Lärche,Hybrid larch,Larix x eurolepis
Pruche,Hemlock,Tsuga spp.
češnja,Cherry,Prunus avium
Populus tremula,Populus tremula,Populus tremula
agrifoglio Ilex aquifolium,Holly (Ilex aquifolium),Ilex aquifolium
Roteiche,Red oak,Quercus rubra
Abies nebrodensis,Abies nebrodensis,Abies nebrodensis
Pin laricio de calabre,Calabrian pine (Pinus laricio of Calabria),Pinus nigra subsp. laricio
Picea omorika,Picea omorika,Picea omorika
"Pinus ponderosa, Abies equii-trojani, Abies bornmuelleriana, Abies cephalonica","Pinus ponderosa, Abies equi-trojani, Abies bornmuelleriana, Abies cephalonica",Pinus ponderosa / Abies equi-trojani / Abies bornmuelleriana / Abies cephalonica
Sequoiadendron giganteum,Sequoiadendron giganteum,Sequoiadendron giganteum
Abies bornmuelleriana,Abies bornmuelleriana,Abies bornmuelleriana
Küstentanne,Grand fir (coast fir),Abies grandis
Picea abies,Picea abies,Picea abies
"Pin maritime, pin de Salzman, pin Laricio, calocèdre, cyprès de Provence","Maritime pine, Salzmann pine, Corsican pine (Pinus laricio), incense cedar, Provence cypress",Pinus pinaster / Pinus nigra salzmannii / Pinus nigra subsp. laricio / Calocedrus decurrens / Cupressus sempervirens
Larix Hybrid,Hybrid larch,Larix x eurolepis
Cedre du japon,Japanese cedar,Cryptomeria japonica
Egyik sem,None,
Keine,No,
ginco biloba,Ginkgo biloba,Ginkgo biloba
je cherche principalement des espèces mellifères,I am mainly looking for melliferous (honey-producing) species,many
Abies bornmuelleriana Mattf.,Abies bornmuelleriana Mattf.,Abies bornmuelleriana
Hybridlärche,Hybrid larch,Larix x eurolepis
Abies Nordmanniana,Abies nordmanniana,Abies nordmanniana
Thuja (Thuja plicata),Thuja (Thuja plicata),Thuja plicata
Hybridlærk,Hybrid larch,Larix x eurolepis
Quercus robur,Quercus robur,Quercus robur
Eg,,many
Larix eurolepis,Larix x eurolepis,Larix x eurolepis
Abies cephalonica / bornmuelleriana / pinsapo / numidica / cilicica,Abies cephalonica / bornmuelleriana / pinsapo / numidica / cilicica,Abies cephalonica / Abies bornmuelleriana / Abies pinsapo / Abies numidica / Abies cilicica
Pinus pinea,Pinus pinea,Pinus pinea
PiMUS cembra,Pinus cembra,Pinus cembra
PInus pinaster,Pinus pinaster,Pinus pinaster
Pinus brutia,Pinus brutia,Pinus brutia
Močvirski taksodij,Swamp cypress (Bald cypress),Taxodium distichum
abies cephalonica,Abies cephalonica,Abies cephalonica
"Calocedrus decurrens, P. nigra salzmannii, P. pinaster, A. nordmanniana","Calocedrus decurrens, Pinus nigra salzmannii, Pinus pinaster, Abies nordmanniana",Calocedrus decurrens / Pinus nigra salzmannii / Pinus pinaster / Abies nordmanniana
"Celtis tournefortii, Zizifus jujuba,","Celtis tournefortii, Ziziphus jujuba",Celtis tournefortii / Ziziphus jujuba
Carpinus,Carpinus,Carpinus spp.
non native broadleaves,Non-native broadleaves,many
Thuja plicata,Thuja plicata,Thuja plicata
Arbutus unedo,Arbutus unedo,Arbutus unedo
